file,layer_name,type,priority,x,y,width,height,z_index,canvas_width,canvas_height,kv_canvas_width,kv_canvas_height,kv_x,kv_y,kv_width,kv_height,kv_z_index,is_in_kv
BublyPopCornersPrice_300X600.psd,PRICE,PRICE,3,18,160,114,51,4,300,600,,,,,,,,0
BublyPopCornersPrice_300X600.psd,SKUs,PRODUCT,2,0,328,150,272,5,300,600,,,,,,,,0
BublyPopCornersPrice_300X600.psd,CTA,CTA,3,36,528,225,52,6,300,600,,,,,,,,0
BublyPopCornersPrice_728X90.psd,BACKGROUND,BACKGROUND,-1,0,0,728,90,0,728,90,,,,,,,,0
BublyPopCornersPrice_728X90.psd,PRICE,PRICE,3,327,31,69,31,1,728,90,,,,,,,,0
BublyPopCornersPrice_728X90.psd,CTA,CTA,3,580,24,146,46,2,728,90,,,,,,,,0
BublyPopCornersPrice_728X90.psd,LOGO,LOGO,0,7,29,81,37,3,728,90,,,,,,,,0
BublyPopCornersPrice_728X90.psd,SKUs,PRODUCT,2,427,6,78,153,4,728,90,,,,,,,,0
BublyPopCornersPrice_728X90.psd,COPY,TEXT,2,136,14,137,49,5,728,90,,,,,,,,0
BublyPopCornersPrice_728X90.psd,SUB HEADING,TEXT,2,112,65,185,15,6,728,90,,,,,,,,0
BublyPopCorners_300X250.psd,BACKGROUND,BACKGROUND,-1,0,0,300,250,0,300,250,,,,,,,,0
BublyPopCorners_300X250.psd,COPY,TEXT,2,32,11,132,48,1,300,250,,,,,,,,0
BublyPopCorners_300X250.psd,LOGO,LOGO,0,212,18,75,34,2,300,250,,,,,,,,0
BublyPopCorners_300X250.psd,SKUs,PRODUCT,2,-3,130,103,200,3,300,250,,,,,,,,0
BublyPopCorners_300X250.psd,CTA,CTA,3,112,195,174,40,4,300,250,,,,,,,,0
BublyPopCorners_300X600.psd,BACKGROUND,BACKGROUND,-1,0,0,300,600,0,300,600,,,,,,,,0
BublyPopCorners_300X600.psd,COPY,TEXT,2,50,26,200,72,1,300,600,,,,,,,,0
